,episode,mean_ep_reward
0,0,-1202.4921239490864
1,1,-1216.169090291174
2,2,-1172.9812413600634
3,3,-1194.9659702987476
4,4,-1137.2963337640836
5,5,-1064.4091207352851
6,6,-1077.064386171896
7,7,-1138.2673631052446
8,8,-1122.7787072603644
9,9,-1056.6858338948223
10,10,-1057.1758934620073
11,11,-1031.1158629582142
12,12,-1023.3984502096898
13,13,-995.4484044489358
14,14,-966.8549698201339
15,15,-992.5814732368955
16,16,-986.3354391598452
17,17,-944.945515294366
18,18,-934.8355364667894
19,19,-940.9789176714797
20,20,-916.2951584801626
21,21,-962.0692782685886
22,22,-925.6158532108313
23,23,-878.2440557613386
24,24,-895.1530502027027
25,25,-901.8022508275085
26,26,-862.9312127567833
27,27,-872.8815979644091
28,28,-885.2529986405814
29,29,-854.312952209487
30,30,-860.1457702819503
31,31,-859.3149726861983
32,32,-833.9387473224399
33,33,-822.7363948829708
34,34,-822.0298524711305
35,35,-819.886310450971
36,36,-806.9221275836275
37,37,-813.2846169516565
38,38,-777.0440086677484
39,39,-791.3011270376085
40,40,-754.7157103577497
41,41,-764.0009000692639
42,42,-741.9302560255662
43,43,-742.322762417705
44,44,-689.7154845305205
45,45,-681.1888793585896
46,46,-729.7468944313091
47,47,-686.7668129752271
48,48,-681.8546837472818
49,49,-680.8673926956346
50,50,-648.7696961675648
51,51,-676.1654793058375
52,52,-641.9145252211591
53,53,-606.7884018767295
54,54,-618.7394097348656
55,55,-610.4924519563699
56,56,-574.3238787478251
57,57,-585.9838353055197
58,58,-534.1426146316816
59,59,-531.0203458107977
60,60,-515.5288206214067
61,61,-491.9590113016826
62,62,-439.772210853915
63,63,-378.17355273906475
64,64,-333.3591898852766
65,65,-290.91205610085876
66,66,-318.7971420897712
67,67,-280.0715366265943
68,68,-241.80593718731322
69,69,-274.9932641661278
70,70,-198.92018611864702
71,71,-246.00242442547085
72,72,-224.55516875314893
73,73,-232.9871192022793
74,74,-204.94403967872148
75,75,-184.0916877948685
76,76,-179.78371577553526
77,77,-138.79416027011774
78,78,-166.70577321119677
79,79,-181.82600842381336
80,80,-185.03188536811936
81,81,-199.1901377886995
82,82,-182.07698530841904
83,83,-171.55976461990926
84,84,-193.78426614440107
85,85,-180.9050405431358
86,86,-141.10856739710027
87,87,-160.4984054246367
88,88,-163.00673225291928
89,89,-155.59246241765342
90,90,-162.5396790578717
91,91,-184.09615293632427
92,92,-187.68950344588836
93,93,-159.29264474325961
94,94,-177.792638209617
95,95,-158.26926637103176
96,96,-177.2454167587442
97,97,-161.9877816953685
98,98,-162.86106046951457
99,99,-137.9392555781841
