,episode,steps,mean_ep_reward,mean_ep_len,trajectory_number,parallel_run
0,0,2051,-1.2879322109415057,17.38135593220339,118,0
1,1,4111,0.8931334420023733,19.61904761904762,105,0
2,2,6179,4.249218763410829,23.5,88,0
3,3,8250,7.837429982609895,30.455882352941178,68,0
4,4,10313,13.254495461725579,36.839285714285715,56,0
0,0,2053,-0.7872292525160441,17.39830508474576,118,1
1,1,4110,1.1732028203847245,19.778846153846153,104,1
2,2,6167,5.004096564065193,27.06578947368421,76,1
3,3,8218,8.370298566037476,29.3,70,1
4,4,10270,8.07833413675174,28.10958904109589,73,1
0,0,2050,-0.593284360747044,18.303571428571427,112,2
1,1,4106,1.0522889909334292,20.356435643564357,101,2
2,2,6175,5.5401200780780275,25.8625,80,2
3,3,8235,7.799724922259817,26.753246753246753,77,2
4,4,10285,11.699728722735168,33.064516129032256,62,2
0,0,2065,-1.599283245217699,16.92622950819672,122,3
1,1,4120,0.27760809885929794,20.55,100,3
2,2,6199,2.8060014359457646,20.38235294117647,102,3
3,3,8254,7.660492150885642,25.6875,80,3
4,4,10320,10.613476042653868,33.868852459016395,61,3
0,0,2052,-0.03572154147370647,18.486486486486488,111,4
1,1,4101,2.1283918248904143,20.696969696969695,99,4
2,2,6187,4.316279530093803,22.923076923076923,91,4
3,3,8267,7.061748178780246,28.88888888888889,72,4
4,4,10348,10.750889427036007,33.03174603174603,63,4
