,episode,steps,mean_ep_reward,mean_ep_len,trajectory_number,parallel_run
0,0,2063,15.821208587527728,20.425742574257427,101,0
1,1,4117,28.16115990846266,27.026315789473685,76,0
2,2,6239,35.68082984960075,28.675675675675677,74,0
3,3,8342,53.26370455571173,37.55357142857143,56,0
4,4,10409,69.85222748573104,46.97727272727273,44,0
5,5,12502,143.95233539998537,80.5,26,0
6,6,14617,176.51854074490146,88.125,24,0
7,7,16719,200.8085948569474,95.54545454545455,22,0
8,8,18863,166.49468695254524,82.46153846153847,26,0
9,9,20921,202.78828435999392,98.0,21,0
10,10,23071,209.75949971973864,102.38095238095238,21,0
11,11,25148,210.8016547802194,98.9047619047619,21,0
12,12,27244,184.8000890902998,87.33333333333333,24,0
13,13,29349,208.56437013922067,95.68181818181819,22,0
14,14,31414,196.5848950295758,89.78260869565217,23,0
15,15,33545,223.98547649330175,101.47619047619048,21,0
16,16,35637,217.4779958486831,99.61904761904762,21,0
17,17,37771,216.24899460372387,97.0,22,0
18,18,39836,206.60749694830983,93.86363636363636,22,0
19,19,41934,214.38061547091445,95.36363636363636,22,0
20,20,44027,179.0885837198521,83.72,25,0
21,21,46148,207.95964710779108,92.21739130434783,23,0
22,22,48274,207.71270932986386,92.43478260869566,23,0
23,23,50338,202.72538312554153,89.73913043478261,23,0
24,24,52477,201.5822480406356,89.125,24,0
25,25,54575,220.28056123723647,95.36363636363636,22,0
26,26,56629,214.3318919250714,93.36363636363636,22,0
27,27,58716,217.02284110257378,94.86363636363636,22,0
28,28,60817,219.88776159204616,95.5,22,0
29,29,62961,225.0638952388433,97.45454545454545,22,0
30,30,65069,232.75784251587555,100.38095238095238,21,0
31,31,67153,272.0992993829117,109.6842105263158,19,0
32,32,69232,256.2691847939915,103.95,20,0
33,33,71347,301.511662050121,117.5,18,0
34,34,73458,277.9992375752934,111.10526315789474,19,0
35,35,75518,285.32171968689585,114.44444444444444,18,0
36,36,77679,313.46686352840794,120.05555555555556,18,0
37,37,79826,312.8437499187896,119.27777777777777,18,0
38,38,81883,310.67191286368904,121.0,17,0
39,39,84017,271.67415046406063,106.7,20,0
40,40,86111,301.83957320502276,116.33333333333333,18,0
41,41,88241,272.42440885857934,106.5,20,0
42,42,90319,301.1128353986542,115.44444444444444,18,0
43,43,92434,287.357372073282,111.3157894736842,19,0
44,44,94581,294.1428985741253,113.0,19,0
45,45,96674,332.4477785743925,123.11764705882354,17,0
46,46,98723,325.17952477315316,120.52941176470588,17,0
47,47,100835,335.24331585283977,124.23529411764706,17,0
48,48,102947,333.3519243807764,124.23529411764706,17,0
49,49,104998,322.9274295210151,120.6470588235294,17,0
50,50,107151,317.54658700263684,119.61111111111111,18,0
51,51,109317,322.77311830195663,120.33333333333333,18,0
52,52,111407,331.56358244684236,122.94117647058823,17,0
53,53,113534,342.6963820510925,125.11764705882354,17,0
54,54,115667,334.8809002234125,125.47058823529412,17,0
55,55,117753,361.23149902261036,130.375,16,0
56,56,119851,335.56105267434793,123.41176470588235,17,0
57,57,121939,358.099339830484,130.5,16,0
58,58,124093,362.9817834916679,134.625,16,0
59,59,126176,354.43421784610973,130.1875,16,0
60,60,128287,364.54127805015366,131.9375,16,0
61,61,130360,375.45769735696007,138.2,15,0
62,62,132513,393.9470968079022,143.53333333333333,15,0
63,63,134689,365.22217231757463,136.0,16,0
64,64,136781,348.83083621447554,130.75,16,0
65,65,138842,373.46527828657156,137.4,15,0
66,66,140935,389.4891878987372,139.53333333333333,15,0
67,67,143095,399.92098725816936,144.0,15,0
68,68,145180,388.2173807576282,139.0,15,0
69,69,147311,395.16966114239005,142.06666666666666,15,0
70,70,149464,398.22756313033784,143.53333333333333,15,0
71,71,151643,412.9907362051106,145.26666666666668,15,0
72,72,153766,415.7257462520437,151.64285714285714,14,0
73,73,155922,396.0168145941627,143.73333333333332,15,0
74,74,158064,394.5439295774347,142.8,15,0
75,75,160297,446.57656398312434,159.5,14,0
76,76,162510,453.97551066744757,158.07142857142858,14,0
77,77,164580,415.90299788284267,147.85714285714286,14,0
78,78,166640,410.018828437564,147.14285714285714,14,0
79,79,168705,454.3271608392523,158.84615384615384,13,0
80,80,170912,432.8080327959521,157.64285714285714,14,0
81,81,173119,483.3503040229059,169.76923076923077,13,0
82,82,175244,468.72708311238756,163.46153846153845,13,0
83,83,177455,483.0838096926396,170.07692307692307,13,0
84,84,179526,501.23624972009367,172.58333333333334,12,0
85,85,181683,441.02191982759666,154.07142857142858,14,0
86,86,183888,480.52752037846284,169.6153846153846,13,0
87,87,185940,504.47709761629886,171.0,12,0
88,88,188019,454.6614095025178,159.92307692307693,13,0
89,89,190213,409.2847653280006,146.26666666666668,15,0
90,90,192314,462.0254372252969,161.6153846153846,13,0
91,91,194493,481.93655328654046,167.6153846153846,13,0
92,92,196647,517.8142483140231,179.5,12,0
93,93,198857,462.4988957398652,157.85714285714286,14,0
94,94,200941,461.8440328882361,160.30769230769232,13,0
95,95,203054,471.007402744281,162.53846153846155,13,0
96,96,205207,534.8402155648197,179.41666666666666,12,0
97,97,207293,500.95843656328253,173.83333333333334,12,0
98,98,209495,496.95516007388443,169.3846153846154,13,0
99,99,211716,499.3550197456628,170.84615384615384,13,0
100,100,213841,480.898720621769,163.46153846153845,13,0
101,101,216015,413.76601893553845,144.93333333333334,15,0
102,102,218076,518.8833403046527,171.75,12,0
103,103,220134,523.109915059344,171.5,12,0
104,104,222223,518.0265314648535,174.08333333333334,12,0
105,105,224325,528.5333279892246,175.16666666666666,12,0
106,106,226395,514.2760231424656,172.5,12,0
107,107,228602,507.94379492221344,169.76923076923077,13,0
108,108,230687,513.6744444423142,173.75,12,0
109,109,232833,484.90737963912164,165.07692307692307,13,0
110,110,234990,491.0814521514832,165.92307692307693,13,0
111,111,237132,493.7316031038171,164.76923076923077,13,0
112,112,239339,459.5671790110809,157.64285714285714,14,0
113,113,241483,483.65939405940026,164.92307692307693,13,0
114,114,243704,511.4911079833398,170.84615384615384,13,0
115,115,245769,479.54669582874374,158.84615384615384,13,0
116,116,247828,504.83010042749333,171.58333333333334,12,0
117,117,250002,457.93171831664904,155.28571428571428,14,0
118,118,252102,536.9792344335755,175.0,12,0
119,119,254198,537.5327103995389,174.66666666666666,12,0
120,120,256435,522.0103371195302,172.07692307692307,13,0
121,121,258554,489.8160632147986,163.0,13,0
122,122,260683,484.8706338880148,163.76923076923077,13,0
123,123,262742,529.9056619643346,171.58333333333334,12,0
124,124,264855,489.6022027734292,162.53846153846155,13,0
125,125,266985,509.667428547018,163.84615384615384,13,0
126,126,269050,483.3517435491754,158.84615384615384,13,0
127,127,271139,493.0834401672742,160.69230769230768,13,0
128,128,273205,448.05583963695415,147.57142857142858,14,0
129,129,275391,535.3841596383729,168.15384615384616,13,0
130,130,277561,510.8838064681448,166.92307692307693,13,0
131,131,279716,460.4321948868871,153.92857142857142,14,0
132,132,281879,514.2209834514614,166.3846153846154,13,0
133,133,283965,486.6834684313492,160.46153846153845,13,0
134,134,286137,462.81321054200924,155.14285714285714,14,0
135,135,288189,436.33128825534084,146.57142857142858,14,0
136,136,290359,474.25325344926233,155.0,14,0
137,137,292523,518.2771319901177,166.46153846153845,13,0
138,138,294694,465.8541404625049,155.07142857142858,14,0
139,139,296825,537.5750378833928,177.58333333333334,12,0
140,140,299057,516.6838809335604,171.69230769230768,13,0
141,141,301167,449.4675140374732,150.71428571428572,14,0
142,142,303333,501.5741306957913,166.6153846153846,13,0
143,143,305480,511.97464859420205,165.15384615384616,13,0
144,144,307624,499.4605680453702,164.92307692307693,13,0
145,145,309836,514.9753250411773,170.15384615384616,13,0
146,146,312018,570.1393803660623,181.83333333333334,12,0
147,147,314208,534.6661890484722,168.46153846153845,13,0
148,148,316299,558.4878295544491,174.25,12,0
149,149,318391,499.5414534350332,160.92307692307693,13,0
150,150,320502,546.9949229678671,175.91666666666666,12,0
151,151,322692,516.528588323449,168.46153846153845,13,0
152,152,324818,554.6751284065753,177.16666666666666,12,0
153,153,326953,496.7817395394171,164.23076923076923,13,0
154,154,329096,455.2488126621137,153.07142857142858,14,0
155,155,331264,501.3345872039098,166.76923076923077,13,0
156,156,333461,511.63379369910905,169.0,13,0
157,157,335512,537.6103216710218,170.91666666666666,12,0
158,158,337701,477.76940793709844,156.35714285714286,14,0
159,159,339850,500.2699041174275,165.30769230769232,13,0
160,160,342015,507.7067360957944,166.53846153846155,13,0
161,161,344172,488.9354203966072,165.92307692307693,13,0
162,162,346358,562.161868990355,182.16666666666666,12,0
163,163,348463,542.7004401090717,175.41666666666666,12,0
164,164,350669,515.1483911324483,169.69230769230768,13,0
165,165,352856,508.0252374342644,168.23076923076923,13,0
166,166,355003,535.7458216568494,178.91666666666666,12,0
167,167,357221,575.6155402843539,184.83333333333334,12,0
168,168,359415,553.8842523526287,182.83333333333334,12,0
169,169,361544,517.521499416472,177.41666666666666,12,0
170,170,363744,547.6963734489287,183.33333333333334,12,0
171,171,365959,549.851609028346,184.58333333333334,12,0
172,172,368086,599.0233057765573,193.36363636363637,11,0
173,173,370285,548.9591690151384,183.25,12,0
174,174,372424,520.2939418365362,178.25,12,0
175,175,374618,543.985991107961,182.83333333333334,12,0
176,176,376775,534.20748756611,179.75,12,0
177,177,378987,544.5438785165607,184.33333333333334,12,0
178,178,381051,570.0316216492399,187.63636363636363,11,0
179,179,383120,525.0887488139508,172.41666666666666,12,0
180,180,385347,579.8441524432633,185.58333333333334,12,0
181,181,387460,528.7515077818849,176.08333333333334,12,0
182,182,389575,588.960295739167,192.27272727272728,11,0
183,183,391706,526.9990344758884,177.58333333333334,12,0
