,episode,mean_ep_reward
0,0,-1285.4846456511352
1,1,-1204.4112604176946
2,2,-1266.7683018334344
3,3,-1188.6636534877432
4,4,-1106.3418633522606
5,5,-1072.9803727242731
6,6,-1033.3864184561605
7,7,-1032.3185453955068
8,8,-1030.210876425325
9,9,-1008.1367605459819
10,10,-957.1396706113409
11,11,-938.8995481701605
12,12,-928.1404310714667
13,13,-928.0644538493209
14,14,-896.7785188261358
15,15,-909.9413626793287
16,16,-887.9855520874885
17,17,-877.9037395324168
18,18,-856.5052991897112
19,19,-865.712972946986
20,20,-845.2674000489922
21,21,-828.7840114178409
22,22,-813.9056087959258
23,23,-807.6237777702123
24,24,-831.3197582459142
25,25,-798.1557268625937
26,26,-754.1274320337159
27,27,-780.3130379846957
28,28,-773.8970372062624
29,29,-763.0388616415329
30,30,-775.5548396013362
31,31,-768.4074210153412
32,32,-751.7969157806581
33,33,-756.3181651196924
34,34,-744.2105568283848
35,35,-726.3188078101938
36,36,-701.8502067902056
37,37,-693.3483936161049
38,38,-685.4659834785282
39,39,-683.7365344375147
40,40,-665.6862226991044
41,41,-641.2934494583379
42,42,-637.0122044700861
43,43,-657.9235173145571
44,44,-584.9708501624641
45,45,-582.3451168435141
46,46,-559.7308918147909
47,47,-508.52226612505854
48,48,-454.77305143574125
49,49,-399.7567697897435
50,50,-306.37877465747783
51,51,-240.5409250965205
52,52,-185.91598586162112
53,53,-241.6811143566774
54,54,-177.77841308477744
55,55,-189.02068986996983
56,56,-178.66681022203633
57,57,-180.5396676190677
58,58,-168.7865407961179
59,59,-141.13777483391684
60,60,-187.7671908031722
61,61,-158.99087207371016
62,62,-153.8186854983993
63,63,-154.16120381780914
64,64,-149.6430748340448
65,65,-153.0657244048023
66,66,-163.95584233770023
67,67,-167.6789775838909
68,68,-156.67068555363375
69,69,-138.27987280011087
70,70,-141.15102201492297
71,71,-153.9637593955687
72,72,-156.84075305990194
73,73,-127.61275263613813
74,74,-158.81880138014336
75,75,-146.6811674164639
76,76,-152.97339174201684
77,77,-143.90991217158432
78,78,-153.72310006868886
79,79,-154.22642663866716
80,80,-156.78388610258907
81,81,-133.94975687605753
82,82,-158.04440574043792
83,83,-152.51062754144442
84,84,-155.35651085495823
85,85,-151.00200519667385
86,86,-136.0747243960825
87,87,-163.78975825066163
88,88,-154.01720644242565
89,89,-167.85834155874693
90,90,-141.1032251169199
91,91,-165.1307866002624
92,92,-146.71574537647703
93,93,-140.74228551253233
94,94,-126.84089243576717
95,95,-152.74637173966852
96,96,-152.30831940717493
97,97,-151.11603687785868
98,98,-126.04509709198443
99,99,-147.46103150826886
